SMILES;CNN_VS;Vina pKi;Target protein
CCC(C)O[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12;4.958118;5.623670209;Acetylcholinesterase
C[C@@H](Nc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1ccccc1;5.9079144;6.808751019;Acetylcholinesterase
Cc1ccc(Sc2cc(C(=O)c3ccccc3C(=O)[O-])ccc2[N+](=O)[O-])cc1;3.447964;8.607874295;Acetylcholinesterase
O=c1nc2oc(CCCCl)cc2cn1Cc1cn(Cc2ccccc2)nn1;6.7686044;6.779846609;Acetylcholinesterase
CCOC(=O)c1ccc(c2nn(CCn3ccnc3)c(=O)c3ccccc32)cc1;4.3078932;6.258157258;Acetylcholinesterase
CCOC(=O)c1cc2cc(NC(=O)CNC(=O)Nc3ccc(C)cc3)ccc2[nH]1;6.1234472;6.605010178;Acetylcholinesterase
CCOC(=O)CSc1nc2c(c(=O)n1c1ccc(OCC)cc1)SCC2;4.914642;5.632835022;Acetylcholinesterase
C=C1C(=O)O[C@@H]2C[C@@]3(C)O[C@H](O[C@H]3CC(=O)C(C)=O)[C@@H](OC(=O)CC(C)C)[C@@H]12;5.31171;6.033971834;Acetylcholinesterase
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCCOc1ncc(c3ccc(F)cc3)cn1)C2;6.2769525;7.402348902;Acetylcholinesterase
COCCC(=O)N1CCC(Oc2ccc(C(=O)N(C)C3CCCCC3)cc2)CC1;6.6615249;6.65929407;Acetylcholinesterase
CCCCCCCC/N=c1\nc(N)c2ncn(Cc3ccc(F)cc3)c2c(N)n1;6.4421984;6.293406538;Acetylcholinesterase
CC(=O)Nc1ccc(c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1;5.0680874;6.736137501;Acetylcholinesterase
Cc1ccc(C(=O)Nc2ccn[nH]2)cc1NC(=O)c1cnc(NC(C)C)s1;7.2732135;7.536296168;Acetylcholinesterase
CC1CCCC(C)N1C(=O)CSc1nnc(CSc2ncccn2)n1C;7.1467227;6.128439905;Acetylcholinesterase
CCOP(=O)(OCC)[C@@H]1C[C@H](n2cc(c3ccccc3F)nn2)ON1C;3.5760319;6.94833817;Acetylcholinesterase
COc1cc(C2=NN(C(C)=O)C(c3cccc([N+](=O)[O-])c3)O2)cc(OC)c1OC;4.9135896;7.26135178;Acetylcholinesterase
Cc1nc(c2ccccn2)nc(NCCc2ccc(S(C)(=O)=O)cc2)c1Cl;5.3046384;7.183803363;Acetylcholinesterase
COCCOC(=O)c1c(C)oc2ccc(OC(=O)c3ccc4c(c3)OCO4)cc12;6.5762056;7.374149478;Acetylcholinesterase
CCOC1N=C(c2ccccc2)c2cc(Cl)ccc2N(CCOC(C)=O)C1=O;3.6829728;6.918728774;Acetylcholinesterase
CCc1ccccc1n1cc(CCCOS(=O)(=O)c2ccc(C)cc2)nn1;5.7298384;7.106254946;Acetylcholinesterase
CCOC(=O)c1cc(c2ccc(C)cc2)n(CCC(=O)NCCCOC)c1C;5.080654;6.275781898;Acetylcholinesterase
COc1cccc(C(=O)Oc2coc(CSc3nccc(C)n3)cc2=O)c1;6.6125724;6.846115256;Acetylcholinesterase
COc1cc(/C=C2\C(=O)OCC2Cc2ccc3c(c2)OCO3)cc(OC)c1OC;4.7143431;7.374149478;Acetylcholinesterase
CCN(CC)S(=O)(=O)c1ccc(C(=O)N2CCN(c3ncccn3)CC2)cc1;6.5260584;6.753057156;Acetylcholinesterase
CCOP(=O)(OCC)[C@@H]1C[C@@H](n2cc(c3ccc(F)cc3F)nn2)ON1C;4.209603;7.013901831;Acetylcholinesterase
COCC1CCN(C(=O)CCc2nnc(C3(c4ccc(Cl)cc4)CCC3)o2)C1;5.7057256;6.844705285;Acetylcholinesterase
