SMILES;K;CNN_VS;Vina pKi;Target protein
CC[N+](CC)(CCNC(C(NCC[N+](CC)(CC)Cc(cccc1)c1Cl)=O)=O)Cc(cccc1)c1Cl;0.12;6.8334912;6.215858121;Acetylcholinesterase
C[N@@H+](CCC(N1CC[NH+](CCNc2c(CCCC3)c3nc3ccccc23)CC1)=O)C1CCCCC1;0.318;6.6860088;7.726642283;Acetylcholinesterase
CN(C)C(N[C@@H](CC1)Cc(cc2)c1cc2O)=O;1.3;4.1488159;5.927519007;Acetylcholinesterase
CN(C)S(N[C@@H](CC1)Cc2c1c(O)ccc2)(=O)=O;1.3;4.0173941;6.265207114;Acetylcholinesterase
CC[N@H+](CCC(N1CC[NH+](CCNc2c(CCCC3)c3nc3ccccc23)CC1)=O)C1CCCCC1;1.35;6.9249462;7.508096744;Acetylcholinesterase
COc1ccc(CN(C=C2C(NCCCNc3c(ccc(Cl)c4)c4nc4c3CCCC4)=O)c(cccc3)c3C2=O)cc1;1.6;6.7363034;8.354079475;Acetylcholinesterase
CC[N+](C)(C)c1cccc(O)c1;1.6;4.9390965;4.411799946;Acetylcholinesterase
CC(C)([C@](CC[C@@]1(C)OC(C=C(c(cc2OC)cc(OC)c2OC)O2)=C(C3)C2=O)([C@@]2(C)[C@]13O)O)C=CC2=O;1.7;7.993618;8.25538149;Acetylcholinesterase
COc(c(OC)c1)cc(C[C@@H]2C[C@]3(CC[N@H+](Cc(cc4)ccc4F)CC3)F)c1C2=O;2.8;6.8465088;8.403428468;Acetylcholinesterase
COc(c(OC)c1)cc(C[C@@H]2C[C@H]3CC[N@H+](Cc4ccccc4)CC3)c1C2=O;2.9;6.8932864;7.761891563;Acetylcholinesterase
Oc(c(C(c1ccccc1)=O)c1)cc(Br)c1O;3.24;4.415313;6.318081034;Acetylcholinesterase
COc(cc1)cc([C@H](C2)N(c(cc3)ccc3S(N)(=O)=O)N=C2c(cc(cc2)F)c2F)c1OC;3.3;4.0012974;5.990967712;Acetylcholinesterase
COc(ccc([C@H](C1)N(c(cc2)ccc2S(N)(=O)=O)N=C1c(cc(cc1)F)c1F)c1)c1OC;3.3;3.579282;6.274371927;Acetylcholinesterase
COc(c(OC)c1)cc(C[C@@H]2C[C@]3(CC[N@H+](Cc(cccc4)c4F)CC3)F)c1C2=O;3.5;6.9989122;8.530325878;Acetylcholinesterase
COc(c(OC)c1)cc(C[C@@H]2C[C@]3(CC[N@@H+](Cc(ccc(F)c4)c4F)CC3)F)c1C2=O;3.5;6.861603;8.537375734;Acetylcholinesterase
COc(cc1)cc(Br)c1C(c(cc1)cc(OC)c1OC)=O;3.53;5.8433618;6.119980078;Acetylcholinesterase
COc(c(OC)c1)cc(C[C@@H]2C[C@]3(CC[N@H+](Cc4ccccc4)CC3)F)c1C2=O;4.6;7.114653;8.114384368;Acetylcholinesterase
C[N+](C)(CCNC(C(NCC[N+](C)(C)Cc(cccc1)c1Cl)=O)=O)Cc(cccc1)c1Cl;5;6.5167696;6.392809509;Acetylcholinesterase
COc(c(OC)c1)cc(C[C@@H]2C[C@]3(CC[N@H+](Cc4cccc(F)c4)CC3)F)c1C2=O;5;7.06744;8.819369978;Acetylcholinesterase
CC(N(CCCCSc1c(CCCC2)c2nc2ccccc12)CCCNc1c(CCCC2)c2nc2ccccc12)=O;5.15;6.8687361;8.452777461;Acetylcholinesterase
COc(c(OC)c1)cc(C[C@@H]2C[C@]3(CC[N@H+](Cc(c(F)c4)cc(F)c4F)CC3)F)c1C2=O;5.2;7.685272;8.819369978;Acetylcholinesterase
COc(c(C(c1ccccc1)=O)c1)cc(Br)c1OC;5.28;4.9231224;6.063581229;Acetylcholinesterase
CC[N@H+](CCCCCC(N(CC1)CCC1C(CC1)CCN1C(CCCCC[N@@H+](CC)Cc(cccc1)c1OC)=O)=O)Cc(cccc1)c1OC;5.67;6.5493945;6.262387171;Acetylcholinesterase
Oc(cc1)ccc1C(c(c(O)c1)cc(Br)c1O)=O;5.72;3.900941;5.801326583;Acetylcholinesterase
COc(cc1)ccc1C(c(ccc(OC)c1)c1OC)=O;5.88;5.4182973;6.186248725;Acetylcholinesterase
Clc1cc2nc(CCCC3)c3c(NCCCCCCCNc3c(CCCC4)c4nc4ccccc34)c2c(Cl)c1;6;2.5488972;8.156683505;Acetylcholinesterase
[NH3+][C@@H](CCC(NCCNc1c(CCCC2)c2nc2ccccc12)=O)C(NCCNc1c(CCCC2)c2nc2ccccc12)=O;6.21;4.3295121;7.973387246;Acetylcholinesterase
C/C=C(\[C@@H](C[C@H](C1)[NH2+]CCCCCCCNc2c(CCCC3)c3nc3ccccc23)C=C(C)C2)/[C@]12C(OC)=O;6.4;3.7341054;8.184882929;Acetylcholinesterase
CC(c(cccc1)c1NC(c(cc1)ccc1OCCCCCN1C=CC=C2C=CC=C[C@@-]12)=O)=O;6.5;7.2846919;7.825340268;Acetylcholinesterase
O=C([C@H]1[N@H+](CCNc2c(CCCC3)c3nc3ccccc23)CCC1)NCCCCCNc1c(CCCC2)c2nc2ccccc12;6.75;5.703273;8.925117819;Acetylcholinesterase
Nc1c(CCCC2)c2nc2ccccc12;6.9;4.4132;6.101650452;Acetylcholinesterase
Oc1cc(O)c([C@H](C2)N=N[C@@H]2c2c(cccc3)c3cc3ccccc23)cc1;7.2;3.3669004;6.664933954;Acetylcholinesterase
Cc1cc(CCNc2c(CCCC3)c3nc3ccccc23)cc(CCNc2c(CCCC3)c3nc3ccccc23)c1;7.45;4.0036252;9.200062207;Acetylcholinesterase
CCOC([C@@-]1C(C)=NC(N(CC2)CCN2S(c(cc2)cc(Cl)c2NC(C)=O)(=O)=O)=N[C@-]1c(cc1)cc(OC)c1OC)=O;8;5.657175;6.372364926;Acetylcholinesterase
C[N@H+](CCCNc1c(CCCC2)c2nc2ccccc12)CCCSc1c(CCCC2)c2nc2ccccc12;9.1;2.50114;7.811240556;Acetylcholinesterase
CC(c(cccc1)c1NC(c(cc1)ccc1OCCCCCCN1C=C2C=CC=C[C@@-]2C=C1)=O)=O;9.4;5.8953839;7.5151466;Acetylcholinesterase
O=C(C[NH2+]Cc1cc(F)cc(F)c1)Nc(cc1)cc2c1N=C(CCC1)N1C2=O;9.9;6.5313594;7.536296168;Acetylcholinesterase
[CH-]1C2=CC=CN(CCCCCCCCCCCCN3C=CC=C[CH-]3)C2=CC=C1;10;6.5017953;6.562711041;Acetylcholinesterase
C[N+](C)(CC=C)c1ccc(CCC(CCc(cc2)ccc2[N+](C)(C)CC=C)=O)cc1;10;7.0359848;6.42805879;Acetylcholinesterase
C[N@H+](CCC[N@H+]1CC[N@H+](CCNc2c(CCCC3)c3nc3ccccc23)CC1)C1CCCCC1;10.3;4.0063494;7.00121209;Acetylcholinesterase
COc(c(OC)c1)cc2c1OC(C(OCC[C@H]1CC[N@@H+](Cc3ccccc3)CC1)=O)=CC2=O;11;6.708304;7.310700773;Acetylcholinesterase
Oc(cc1)cc2c1OC(C(NCCC[C@H]1CC[N@H+](Cc3ccccc3)CC1)=O)=CC2=O;11;6.223702;7.980437102;Acetylcholinesterase
COc(c(OC)c1)cc(C=C2c3ccc(C[N@@H+](CCO)Cc4ccccc4)cc3)c1OC2=O;11;6.5575888;8.057985519;Acetylcholinesterase
CC[N@@H+](Cc1ccccc1)Cc(cc1)ccc1C1=Cc(cc(c(OC)c2)OC)c2OC1=O;11;7.0874496;8.25538149;Acetylcholinesterase
C[N+](C)(Cc1ccccc1)Cc(cc1)ccc1C1=Cc(cc(c(OC)c2)OC)c2OC1=O;11;7.0690032;8.248331634;Acetylcholinesterase
O=C(C(Oc(cc1)c2cc1[N+2](=O)=O)=CC2=O)NCC[C@H]1CC[N@@H+](Cc2ccccc2)CC1;12;6.7395974;7.634994153;Acetylcholinesterase
CC[N@H+](CCCCCC(N(C)CCCCCCCCN(C)C(CCCCC[N@@H+](CC)Cc(cccc1)c1OC)=O)=O)Cc(cccc1)c1OC;12.2;4.8208347;5.099160915;Acetylcholinesterase
C(CNc1c(CCCC2)c2nc2ccccc12)c1c[o]cc1CCNc1c(CCCC2)c2nc2ccccc12;13.3;4.3939361;8.70657228;Acetylcholinesterase
CC(N(CCCNc1c(CCCC2)c2nc2ccccc12)CCCSc1c(CCCC2)c2nc2ccccc12)=O;13.4;5.479677;7.345950053;Acetylcholinesterase
CN(CCC(N1CC[NH+](CCNc2c(CCCC3)c3nc3ccccc23)CC1)=O)c1ccccc1;13.7;4.3150185;7.465797607;Acetylcholinesterase
COC1=CC=C[C@-](C=C2)C1=CN2c(cc1)ccc1Br;14.8;5.554375;6.822145745;Acetylcholinesterase
C#CC[N@H+](Cc1ccc(cccc2O)c2n1)[C@@H](CC[C@H]1CC[N@H+](Cc2ccccc2)CC1)C#N;15;5.3244405;7.092155234;Acetylcholinesterase
CC(C)(C)OC(N[C@@H](CCC(NCCNc1c(CCCC2)c2nc2ccccc12)=O)C(NCCNc1c(CCCC2)c2nc2ccccc12)=O)=O;15.4;4.1034525;7.881739117;Acetylcholinesterase
C/C=C(\[C@H](C[C@@H](C1)[NH2+]CCCCCCCNc2c(CCCC3)c3nc3ccccc23)C=C(C)C2)/[C@@]12[NH3+];15.7;3.87436;7.987486958;Acetylcholinesterase
COc(c(C(CC[C@H]1CC[N@@H+](CC2CCCCC2)CC1)=O)c1)cc(N)c1Cl;16;7.555464;7.233152356;Acetylcholinesterase
CC(C)([C@H](C[C@@]1(CC(C)=C2)[NH3+])[NH2+]CCCCCCCNc3c(CCCC4)c4nc4ccccc34)[C@@H]2/C\1=C\C;16.5;3.6204731;8.015686383;Acetylcholinesterase
O=C(CC[NH+]1CCCCC1)N1CC[NH+](CCNc2c(CCCC3)c3nc3ccccc23)CC1;16.8;5.814141;7.233152356;Acetylcholinesterase
CCOc1ccc(Cc2nc(cc(cc3)C(NCCSSCCNc4c(CCCC5)c5nc5ccccc45)=O)c3[n]2CCC(C)C)cc1;17;7.7298936;7.296601061;Acetylcholinesterase
O=C(C1=Cc(cccc2)c2OC1=O)NCCCCCCNc1c(CCCC2)c2nc2ccccc12;17;3.3784066;8.438677749;Acetylcholinesterase
C/C=C(\[C@H](CC(N1)=C2C=CC1=O)C=C(C)C1)/[C@@]21[NH3+];17;3.6195852;6.460488128;Acetylcholinesterase
COc(c(OC)c1)cc(C=C2NC([C@H](CCC3)C[C@H]3[NH2+]Cc3ccccc3)=O)c1OC2=O;19;7.025098;8.424578036;Acetylcholinesterase
[CH-]1N(CCCCCCCCCCCN2C=CC=C[CH-]2)C=CC=C1;20;6.3223115;5.650459662;Acetylcholinesterase
CC(N(CCCCNc1c(CCCC2)c2nc2ccccc12)CCCSc1c(CCCC2)c2nc2ccccc12)=O;20.9;5.911125;7.592695017;Acetylcholinesterase
COc(c(OC)c1)cc2c1OC(C(NCCC[C@H]1CC[N@H+](Cc3ccccc3)CC1)=O)=CC2=O;21;6.8278728;7.367099622;Acetylcholinesterase
Cc1c(C(N[C@H]2CC[N@@H+](Cc3ccccc3)CC2)=O)[s]cc1S(c(cc1)ccc1Cl)(=O)=O;21;6.0677848;7.599744873;Acetylcholinesterase
NS(c(cc1)ccc1/N=C/c1cc(Br)cc(Cl)c1O)(=O)=O;21;3.59541;6.242647574;Acetylcholinesterase
NS(c(cc1)ccc1/N=C/c1cc(Br)cc(Br)c1O)(=O)=O;21;4.1589376;6.504902221;Acetylcholinesterase
NS(c(cc1)ccc1NCc1cccc(Cl)c1O)(=O)=O;21;3.4611772;6.296226481;Acetylcholinesterase
O=[N+2](c1cc([C@H](C2)N=N[C@@H]2c2c(cccc3)c3cc3ccccc23)ccc1)=O;21;4.955732;7.282501349;Acetylcholinesterase
C[N@H+](Cc1ccccc1)Cc(cc1)ccc1C1=Cc(cc(c(OC)c2)OC)c2OC1=O;21.7;6.8388545;8.050935663;Acetylcholinesterase
COc(c(OC)c1)cc(C[C@@H]2Cc3cc(C[NH+]4CCCC4)ccc3)c1C2=O;22;5.8653867;7.93108811;Acetylcholinesterase
CC[NH+](CC)Cc1cccc(C[C@@H](Cc(cc2OC)c3cc2OC)C3=O)c1;22;6.8074909;7.268401636;Acetylcholinesterase
CC[N+](CC)(CCCCCN(C(C)=CC(N1CCCCC[N+](CC)(CC)Cc2ccccc2)=O)C1=O)Cc1ccccc1;22;8.1238276;6.177788898;Acetylcholinesterase
O=C(Nc(cc1)ccc1OC(F)(F)F)O[C@H](C1)C[N@@H+]1C(c1ccccc1)c1ccccc1;23;5.481336;7.183803363;Acetylcholinesterase
CC(C[C@H]1C2)=C[C@H]2Cc2c1c(NCCCCCCNC([C@H](Cc1c[nH]c3c1cccc3)[NH3+])=O)c(ccc(Cl)c1)c1n2;23;6.45344;8.981516668;Acetylcholinesterase
FC(Oc1ccc(C[NH2+][C@@H]2C[N@@H+](Cc3ccccc3)CC2)cc1)(F)F;23;5.492623;6.866559839;Acetylcholinesterase
COc(cc1)cc(C=C2C(NCCCCCCNc3c(CCCC4)c4nc4ccccc34)=O)c1OC2=O;24;5.0004393;8.198982641;Acetylcholinesterase
Oc1c([C@H](C2)[N-][N-][C@@H]2c2c(cccc3)c3cc3ccccc23)cccc1;24;4.1086944;6.755172113;Acetylcholinesterase
